country,date,gdp_growth,inflation,debt_to_gdp,current_account_gdp,reserves_months_imports,ext_debt_total,unemployment,fx_official
Ethiopia,2024,7.61277447511073,21.0377460577711,,-2.53176480494864,1.78062348919911,36548259483.3,3.357,82.6013363504764
Ethiopia,2023,6.59424599357075,30.2188278135278,,-3.52359702028074,1.04253332393312,33273672181.5,3.375,54.6009480676569
Ethiopia,2022,5.32175988403378,33.8898797100898,,-4.19066632559079,0.578588743645574,30620768251.9,3.386,51.7562150334169
Ethiopia,2021,5.64153069257077,26.8395221557722,,-4.13241831245632,0.921461319519326,32000197807.2,3.935,43.73377831884
Ethiopia,2020,6.05953089054807,20.3563468559061,,-2.75526110015443,2.04857901561174,32364057104.1,3.998,34.9271654040404
Ethiopia,2019,8.36408573314054,15.8096321719344,31.4488445675115,-5.47194445075559,1.80527864372519,30377335498.2,2.928,29.06975
Ethiopia,2018,6.81614778557282,13.8330356586661,32.5332245880697,-5.53324917435326,2.35373732912293,29842524863.7,2.811,27.4293865941667
Ethiopia,2017,9.56418965754014,10.6871150284238,30.0951138166574,-7.76343039992896,1.84484716277074,26170602394.7,2.665,23.8661044574125
Ethiopia,2016,9.43348265981905,6.62813337230924,29.00568173215,-11.5449209376397,1.78101039203728,23396722284.1,2.556,21.7315472222222
Ethiopia,2015,10.3924630141307,9.56889955968623,27.9431250361336,-12.1838327178752,2.28152768719769,20443875424.1,2.442,20.57684875
Ethiopia,2014,10.2574929627477,6.89001951597192,26.9372797319632,-10.3781721184147,2.3002950163837,16946037499.2,2.361,19.585789907695
Ethiopia,2013,10.5822700502552,7.46402192944517,10.733283781495,-6.36626399169653,1.97097009114638,12585463066.0,2.251,18.6266289575478
Ethiopia,2012,8.64781163513926,23.600417677317,,-7.1067486808021,1.94022284437674,10465118049.7,2.252,17.7047613782674
Ethiopia,2011,11.1782962297008,33.2499598823344,,-3.30367964138338,2.8714432508009,8607523904.7,2.27,16.8992257595275
Ethiopia,2010,12.5505383347633,8.14926402965082,,-2.1222608717343,2.69323946325897,7287411658.5,2.295,14.4095898080066
